22	231
1	2	1.00
1	3	1.00
1	4	1.00
1	5	-1.00
1	6	-1.00
1	7	1.00
1	8	1.00
1	9	-1.00
1	10	-1.00
1	11	1.00
1	12	1.00
1	13	1.00
1	14	-1.00
1	15	1.00
1	16	1.00
1	17	1.00
1	18	-1.00
1	19	-1.00
1	20	-1.00
1	21	1.00
1	22	-1.00
2	3	1.00
2	4	1.00
2	5	1.00
2	6	1.00
2	7	-1.00
2	8	1.00
2	9	1.00
2	10	-1.00
2	11	-1.00
2	12	1.00
2	13	1.00
2	14	1.00
2	15	1.00
2	16	1.00
2	17	-1.00
2	18	1.00
2	19	1.00
2	20	-1.00
2	21	-1.00
2	22	-1.00
3	4	1.00
3	5	-1.00
3	6	-1.00
3	7	-1.00
3	8	-1.00
3	9	1.00
3	10	1.00
3	11	1.00
3	12	-1.00
3	13	1.00
3	14	-1.00
3	15	1.00
3	16	1.00
3	17	-1.00
3	18	-1.00
3	19	1.00
3	20	-1.00
3	21	1.00
3	22	-1.00
4	5	-1.00
4	6	1.00
4	7	1.00
4	8	1.00
4	9	-1.00
4	10	-1.00
4	11	1.00
4	12	-1.00
4	13	-1.00
4	14	1.00
4	15	1.00
4	16	-1.00
4	17	1.00
4	18	1.00
4	19	-1.00
4	20	1.00
4	21	-1.00
4	22	-1.00
5	6	1.00
5	7	-1.00
5	8	1.00
5	9	-1.00
5	10	1.00
5	11	-1.00
5	12	1.00
5	13	1.00
5	14	1.00
5	15	-1.00
5	16	1.00
5	17	1.00
5	18	-1.00
5	19	1.00
5	20	-1.00
5	21	-1.00
5	22	1.00
6	7	1.00
6	8	1.00
6	9	1.00
6	10	1.00
6	11	-1.00
6	12	1.00
6	13	1.00
6	14	1.00
6	15	1.00
6	16	-1.00
6	17	1.00
6	18	-1.00
6	19	-1.00
6	20	1.00
6	21	-1.00
6	22	-1.00
7	8	-1.00
7	9	-1.00
7	10	1.00
7	11	-1.00
7	12	-1.00
7	13	1.00
7	14	-1.00
7	15	1.00
7	16	-1.00
7	17	-1.00
7	18	1.00
7	19	-1.00
7	20	-1.00
7	21	-1.00
7	22	1.00
8	9	1.00
8	10	-1.00
8	11	-1.00
8	12	-1.00
8	13	1.00
8	14	-1.00
8	15	1.00
8	16	-1.00
8	17	-1.00
8	18	1.00
8	19	1.00
8	20	1.00
8	21	1.00
8	22	-1.00
9	10	1.00
9	11	-1.00
9	12	1.00
9	13	1.00
9	14	1.00
9	15	-1.00
9	16	-1.00
9	17	-1.00
9	18	1.00
9	19	1.00
9	20	-1.00
9	21	-1.00
9	22	1.00
10	11	1.00
10	12	-1.00
10	13	1.00
10	14	1.00
10	15	1.00
10	16	-1.00
10	17	-1.00
10	18	-1.00
10	19	1.00
10	20	-1.00
10	21	-1.00
10	22	1.00
11	12	-1.00
11	13	-1.00
11	14	1.00
11	15	-1.00
11	16	1.00
11	17	-1.00
11	18	1.00
11	19	1.00
11	20	1.00
11	21	-1.00
11	22	-1.00
12	13	-1.00
12	14	-1.00
12	15	1.00
12	16	-1.00
12	17	-1.00
12	18	-1.00
12	19	-1.00
12	20	1.00
12	21	1.00
12	22	1.00
13	14	1.00
13	15	1.00
13	16	1.00
13	17	-1.00
13	18	-1.00
13	19	1.00
13	20	1.00
13	21	1.00
13	22	1.00
14	15	-1.00
14	16	1.00
14	17	1.00
14	18	1.00
14	19	1.00
14	20	1.00
14	21	-1.00
14	22	1.00
15	16	-1.00
15	17	-1.00
15	18	1.00
15	19	1.00
15	20	1.00
15	21	1.00
15	22	1.00
16	17	-1.00
16	18	1.00
16	19	-1.00
16	20	-1.00
16	21	1.00
16	22	-1.00
17	18	1.00
17	19	1.00
17	20	1.00
17	21	1.00
17	22	-1.00
18	19	-1.00
18	20	1.00
18	21	-1.00
18	22	1.00
19	20	-1.00
19	21	-1.00
19	22	1.00
20	21	1.00
20	22	-1.00
21	22	1.00
