46	69
1	28	1.00
1	24	1.00
1	19	1.00
2	10	1.00
2	4	1.00
2	23	1.00
3	45	1.00
3	42	1.00
3	30	1.00
4	34	1.00
4	10	1.00
5	15	1.00
5	20	1.00
5	44	1.00
6	7	1.00
6	44	1.00
6	41	1.00
7	39	1.00
7	41	1.00
8	15	1.00
8	31	1.00
8	18	1.00
9	28	1.00
9	11	1.00
9	46	1.00
10	36	1.00
11	26	1.00
11	30	1.00
12	37	1.00
12	19	1.00
12	17	1.00
13	45	1.00
13	33	1.00
13	15	1.00
14	32	1.00
14	24	1.00
14	29	1.00
16	25	1.00
16	34	1.00
16	22	1.00
17	25	1.00
17	32	1.00
18	35	1.00
18	21	1.00
19	40	1.00
20	33	1.00
20	21	1.00
21	23	1.00
22	43	1.00
22	35	1.00
23	46	1.00
24	25	1.00
26	38	1.00
26	40	1.00
27	37	1.00
27	38	1.00
27	42	1.00
28	29	1.00
29	38	1.00
30	39	1.00
31	36	1.00
31	39	1.00
32	33	1.00
34	46	1.00
35	42	1.00
36	40	1.00
37	45	1.00
41	43	1.00
43	44	1.00
