N	id	H	soln
4	0	-4	1100
4	1	-4	1100
4	2	-4	1100
4	3	-4	1100
4	4	-4	1100
4	5	-4	1100
4	6	-4	1100
4	7	-4	1100
4	8	-4	1100
4	9	-4	1100
4	10	-4	1100
4	11	-4	1100
4	12	-4	1100
4	13	-4	1100
4	14	-4	1100
4	15	-4	1100
4	16	-4	1100
4	17	-4	1100
4	18	-4	1100
4	19	-4	1100
6	0	-10	111000
6	1	-18	101100
6	2	-18	101100
6	3	-10	110010
6	4	-10	110010
6	5	-10	110010
6	6	-10	111000
6	7	-18	111000
6	8	-10	011100
6	9	-10	101100
6	10	-10	011100
6	11	-10	110100
6	12	-10	111000
6	13	-10	110100
6	14	-10	110010
6	15	-18	111000
6	16	-18	110010
6	17	-10	110100
6	18	-10	111000
6	19	-10	101010
8	0	-16	10110100
8	1	-16	00101110
8	2	-16	10111000
8	3	-16	10110100
8	4	-16	11100100
8	5	-16	11001100
8	6	-16	10011010
8	7	-16	11110000
8	8	-16	11100010
8	9	-16	11100010
8	10	-16	01110100
8	11	-16	11101000
8	12	-16	10101100
8	13	-16	11100010
8	14	-16	11000110
8	15	-16	11011000
8	16	-16	11101000
8	17	-16	10101100
8	18	-16	11001100
8	19	-16	10101100
10	0	-22	1110011000
10	1	-22	1101000110
10	2	-22	1101100010
10	3	-22	1100001110
10	4	-22	1101001010
10	5	-22	1010101010
10	6	-22	0111100100
10	7	-22	0011011010
10	8	-22	1001011010
10	9	-22	1101101000
10	10	-22	1110011000
10	11	-22	0111010100
10	12	-22	1010001110
10	13	-22	0111000110
10	14	-18	0110010100
10	15	-22	1100101010
10	16	-22	1110110000
10	17	-22	1110011000
10	18	-22	0011101010
10	19	-18	1000010110
12	0	-24	100100011010
12	1	-28	000111110100
12	2	-28	010001011110
12	3	-28	011010101010
12	4	-28	111110100000
12	5	-24	101110111000
12	6	-28	010110110100
12	7	-24	010110100010
12	8	-24	000111101000
12	9	-28	110001100110
12	10	-24	110111000000
12	11	-24	111101110000
12	12	-24	110100010010
12	13	-28	100011011010
12	14	-28	101101010100
12	15	-28	010101110010
12	16	-28	010010101110
12	17	-24	011101010000
12	18	-24	110101000100
12	19	-28	101101010010
14	0	-30	11000101001010
14	1	-34	11001100001110
14	2	-30	11000111000100
14	3	-30	01000110001110
14	4	-34	00111110001100
14	5	-26	10101010011100
14	6	-30	11000111010110
14	7	-30	00111100100010
14	8	-26	01101010101100
14	9	-34	10101100101010
14	10	-26	11001110011000
14	11	-34	10111101100000
14	12	-34	11111101000000
14	13	-30	10001101110000
14	14	-30	01000100111010
14	15	-26	11001011100010
14	16	-30	01000101110010
14	17	-42	01101011011000
14	18	-30	10000011110010
14	19	-34	10101101010010
16	0	-40	0101100101110100
16	1	-32	1011110100110000
16	2	-36	1011110000001010
16	3	-32	0110111001001010
16	4	-36	0101110010011000
16	5	-40	1010001011101100
16	6	-36	1101101010001110
16	7	-28	1101011011000000
16	8	-40	1101100110001100
16	9	-32	1100111010010100
16	10	-32	0101101100100110
16	11	-36	1010011111000000
16	12	-36	0011101101010000
16	13	-36	1001100010011100
16	14	-36	0101101100100100
16	15	-32	1111001011000010
16	16	-32	1110100110101000
16	17	-40	0010100101101110
16	18	-40	1010110011001010
16	19	-36	1001111000100100
18	0	-42	011001101010111010
18	1	-46	011010111001001100
18	2	-38	011101101000101010
18	3	-46	110011100101001100
18	4	-42	011010100111110100
18	5	-38	100111110110100000
18	6	-38	101111010110001000
18	7	-38	111111000010110000
18	8	-42	011110001001011000
18	9	-38	011101011001001010
18	10	-42	110010010110100100
18	11	-42	110011110111000100
18	12	-46	100001111011011000
18	13	-38	010110010101111000
18	14	-38	101001001011101100
18	15	-42	000010101110011010
18	16	-46	111101000001101100
18	17	-42	101001001000011110
18	18	-46	110001101101110000
18	19	-42	011011001001001010
20	0	-44	10001011001111001010
20	1	-48	10010010010100011110
20	2	-48	00010100101011101010
20	3	-44	10011011101000001110
20	4	-48	01111000110110101100
20	5	-44	10010111001001001110
20	6	-44	00111011000011001110
20	7	-60	11100101101000110100
20	8	-48	11001101101100010000
20	9	-44	10010111101000011010
20	10	-44	11010110000111001010
20	11	-40	01010010111010000110
20	12	-44	01111110000101101000
20	13	-48	10011010101001110110
20	14	-48	00101001111000001110
20	15	-44	01000111110110000110
20	16	-44	11111000111010000100
20	17	-48	00100001111010100110
20	18	-44	11001000110011100110
20	19	-48	10111010001111000110
22	0	-50	0100101101100100111100
22	1	-58	0110101101110100100100
22	2	-46	1001110010100010110100
22	3	-50	0110110000111100100110
22	4	-50	1010010100111100011100
22	5	-58	1011001110010101010100
22	6	-54	1100100100111100011000
22	7	-58	1101010110110000011010
22	8	-50	1111100101100010101000
22	9	-50	0111001110110110100000
22	10	-50	1100001110111000011100
22	11	-50	0010011011100011110010
22	12	-46	1110000011010100011010
22	13	-50	1001110110100001111000
22	14	-50	1111100010100010001110
22	15	-46	1001111100001100011110
22	16	-46	1100101110000000110110
22	17	-54	1100110001111011110000
22	18	-46	1111000110101000110110
22	19	-50	0111010100110111000100
24	0	-56	011010000011011111100010
24	1	-52	100001001110100111011110
24	2	-48	100101110110000000111110
24	3	-56	010010101111010101100010
24	4	-56	110101000101010010111010
24	5	-56	110001101010011100001110
24	6	-52	101010001010101001111000
24	7	-56	101011101100011001010010
24	8	-56	001111111010010010011000
24	9	-56	010111101001000111001010
24	10	-60	100110101001111110100100
