N	id	H	soln
02	00	-2	10
02	01	-2	00
02	02	-2	00
02	03	-2	10
02	04	-2	00
02	05	-2	10
02	06	-2	10
02	07	-2	10
02	08	-2	00
02	09	-2	00
10	00	-38	0100101010
10	01	-54	1111100010
10	02	-30	1011010000
10	03	-34	0011110100
10	04	-38	1111110010
10	05	-38	1110110100
10	06	-34	1000110000
10	07	-42	0100010100
10	08	-50	0110101010
10	09	-38	1100110010
20	00	-124	00010001101011001000
20	01	-112	10111100001001101110
20	02	-128	10011010010001010110
20	03	-120	01000000010110000100
20	04	-108	00110110011001110000
20	05	-116	01000011111111101010
20	06	-128	01010001001011101110
20	07	-112	11010100100011111110
20	08	-116	10001011000011111010
20	09	-124	00010110101001111010
30	00	-218	001011111000000100001101100100
30	01	-222	111001101111110100010101110010
30	02	-246	110000011111110110100111010000
30	03	-234	000100101100001001100011111110
30	04	-210	101011101110011010111100001100
30	05	-218	111111011010110110101100000000
30	06	-210	100101011011010101101011110010
30	07	-238	010011100110101101111100110010
30	08	-222	100011101101101100111110111100
30	09	-218	000000001011100000101111001000
40	00	-352	0100100100101101000001001101100100010110
40	01	-344	0010001111111000111101010000011111000000
40	02	-344	0110001010100001111100010111000010110010
40	03	-364	1101100100001000100111000011100100111010
40	04	-356	0101100101111110001011000100100100101110
40	05	-368	0110110010011000101100111010101001010000
40	06	-352	1111100001000110010000100000101001111010
40	07	-368	1010001110111011100111011000001100100000
40	08	-352	1010011010101011010000010100001111000000
40	09	-364	1100000110101100111110100011011111110000
50	00	-542	00001110000001011101101001111111101010101001101000
50	01	-510	01111010010000011001000110010000011111100111000110
50	02	-522	11010001000000010011111101110000001110001101010100
50	03	-526	00001110010111111100010011010110111010110011111100
50	04	-486	10001110010011011111000100000001111111100010111000
50	05	-530	00100110111000100110000000000010011110110101100100
50	06	-494	01110000110010001110010010010000111010110111101000
50	07	-506	10110000100110010110101011110111100001110001111010
50	08	-510	10101111110000000000010001001111010100101101101100
50	09	-498	10011100111111011001011101001101101000011011101010
60	00	-656	010101010100111101011001000000110011001110100111001001010110
60	01	-684	001110101110010000110100011011101001001100010100001111100000
60	02	-656	010000010000111000100101110011010001101100101000000101011110
60	03	-680	010010010100011101001100101000000001011111110101110000001100
60	04	-652	011111111100001100100101010000101001000101111000111101101110
60	05	-672	111110111101110011001111000000000001111001001000000100100010
60	06	-648	111101000001010100100100001101101010010010111000010010101110
60	07	-712	001000011010100011000111010101001000110111100010010000110100
60	08	-716	101010101001101000100001100011100011010010100111001101100100
60	09	-672	000111111100001000001010101111000010000100111001101111100010
70	00	-862	0001111101100100001100011000101010000101010010110111000110000010111010
70	01	-850	1010000100010100001100100110100110011010101011011010000011010111100000
70	02	-850	0101100000110100110101101000011111101101010100101011010101100110001110
70	03	-818	0101111100101001000101100011001010010001111100000010011001111110110000
70	04	-834	0100010110101000110110000100011011000001101001111111000111001101101000
70	05	-850	1000101111000011010101101001000001010001010010010010001010101100011000
70	06	-834	0010101011010110110111110100000000111110011011110000100100110101001110
70	07	-886	0000011111100110000101001100011000010100101100100101000001011110100010
70	08	-862	1001111110001011100111101111110100100001010111000000100111111011000010
70	09	-838	1010010000001001011010101010111010100011000100000000001011100001101100
80	00	-992	11010111001001100011001101011111111001111000101010000100100111010101011101100000
80	01	-1016	00001011010010010011111110100000001110010000001111101100101011010101100001110110
80	02	-1088	00001101100110101100000101100010001101101100100000101000100110100100110111100100
80	03	-1056	00111001100010010010011011101010010100001011101011001100001110111000010010001010
80	04	-1036	11011001101011000000010110000011110011010011000100000111000101101111101001101110
80	05	-1056	10010110001010111011111110101010010001011010101100110010010110101110001010001000
80	06	-1072	10101011111100100101100011011011001011000010100100011011001010100000110111000110
80	07	-1020	11110111011010001101101110010100010010110110011110110011001101111100111011011010
80	08	-1036	11011011010101101011101000101001100101101111001110010000010101100111011011101100
80	09	-1064	11110001010010101101110001010010010110000101010010111111010110111111101111010100
90	00	-1262	010001110011100111101101100101100000101101001100100110101110000101111111101111110111110100
90	01	-1254	010010101101000000010010110111101110000010010001110101101011011001110111100111011010111010
90	02	-1250	000110111010101011011100011111010111110011111000101110001000000111110101101000011011110000
90	03	-1222	101011000100001101101001110100100111100111010010011100111000100111101100101001001101010110
90	04	-1286	110001101010111010000111010110110000001011101110010000001010011101100110000111111111111000
90	05	-1254	110011110011001000100001101011011011101111010011111010010001101100001100100001011101001100
