100	2475
1	2	1
1	3	1
1	4	1
2	4	1
1	6	1
3	6	1
5	6	1
1	7	1
4	7	1
5	7	1
3	8	1
6	8	1
1	9	1
5	9	1
6	9	1
3	10	1
6	10	1
9	10	1
4	11	1
5	11	1
8	11	1
9	11	1
1	12	1
2	12	1
3	12	1
4	12	1
6	12	1
9	12	1
4	13	1
6	13	1
8	13	1
9	13	1
11	13	1
2	14	1
4	14	1
6	14	1
8	14	1
9	14	1
10	14	1
11	14	1
13	14	1
1	15	1
2	15	1
4	15	1
9	15	1
10	15	1
11	15	1
12	15	1
2	16	1
3	16	1
4	16	1
5	16	1
8	16	1
9	16	1
13	16	1
14	16	1
2	17	1
5	17	1
15	17	1
16	17	1
2	18	1
6	18	1
9	18	1
10	18	1
11	18	1
12	18	1
15	18	1
17	18	1
1	19	1
3	19	1
5	19	1
7	19	1
9	19	1
12	19	1
14	19	1
15	19	1
17	19	1
18	19	1
2	20	1
3	20	1
4	20	1
5	20	1
7	20	1
8	20	1
9	20	1
11	20	1
12	20	1
13	20	1
14	20	1
15	20	1
17	20	1
18	20	1
7	21	1
8	21	1
9	21	1
11	21	1
13	21	1
14	21	1
15	21	1
17	21	1
18	21	1
19	21	1
20	21	1
1	22	1
3	22	1
4	22	1
5	22	1
8	22	1
10	22	1
11	22	1
12	22	1
14	22	1
15	22	1
18	22	1
19	22	1
20	22	1
1	23	1
5	23	1
7	23	1
8	23	1
12	23	1
16	23	1
18	23	1
20	23	1
21	23	1
22	23	1
4	24	1
5	24	1
6	24	1
7	24	1
8	24	1
11	24	1
12	24	1
13	24	1
14	24	1
15	24	1
16	24	1
18	24	1
20	24	1
22	24	1
1	25	1
2	25	1
3	25	1
5	25	1
6	25	1
9	25	1
13	25	1
15	25	1
2	26	1
3	26	1
4	26	1
10	26	1
11	26	1
12	26	1
15	26	1
18	26	1
21	26	1
22	26	1
24	26	1
25	26	1
1	27	1
4	27	1
5	27	1
8	27	1
9	27	1
10	27	1
14	27	1
17	27	1
18	27	1
21	27	1
22	27	1
23	27	1
25	27	1
1	28	1
3	28	1
4	28	1
5	28	1
9	28	1
12	28	1
13	28	1
15	28	1
16	28	1
17	28	1
18	28	1
20	28	1
22	28	1
25	28	1
2	29	1
3	29	1
4	29	1
5	29	1
6	29	1
9	29	1
10	29	1
11	29	1
14	29	1
16	29	1
18	29	1
19	29	1
21	29	1
22	29	1
23	29	1
25	29	1
28	29	1
1	30	1
2	30	1
5	30	1
6	30	1
12	30	1
14	30	1
15	30	1
17	30	1
22	30	1
25	30	1
26	30	1
27	30	1
28	30	1
29	30	1
3	31	1
6	31	1
7	31	1
8	31	1
15	31	1
17	31	1
19	31	1
20	31	1
21	31	1
22	31	1
27	31	1
30	31	1
2	32	1
6	32	1
7	32	1
8	32	1
10	32	1
13	32	1
14	32	1
16	32	1
17	32	1
18	32	1
19	32	1
22	32	1
23	32	1
26	32	1
27	32	1
28	32	1
29	32	1
30	32	1
5	33	1
7	33	1
10	33	1
11	33	1
14	33	1
15	33	1
16	33	1
17	33	1
18	33	1
20	33	1
22	33	1
24	33	1
25	33	1
26	33	1
28	33	1
29	33	1
30	33	1
1	34	1
2	34	1
6	34	1
8	34	1
11	34	1
12	34	1
13	34	1
14	34	1
17	34	1
18	34	1
20	34	1
21	34	1
22	34	1
24	34	1
25	34	1
26	34	1
27	34	1
28	34	1
29	34	1
8	35	1
9	35	1
10	35	1
11	35	1
14	35	1
15	35	1
16	35	1
17	35	1
19	35	1
20	35	1
21	35	1
24	35	1
27	35	1
30	35	1
31	35	1
2	36	1
3	36	1
5	36	1
8	36	1
10	36	1
11	36	1
13	36	1
14	36	1
15	36	1
16	36	1
17	36	1
18	36	1
22	36	1
27	36	1
28	36	1
31	36	1
33	36	1
35	36	1
1	37	1
2	37	1
5	37	1
6	37	1
10	37	1
11	37	1
13	37	1
16	37	1
19	37	1
20	37	1
24	37	1
25	37	1
26	37	1
27	37	1
29	37	1
31	37	1
32	37	1
33	37	1
34	37	1
36	37	1
1	38	1
2	38	1
3	38	1
7	38	1
8	38	1
9	38	1
14	38	1
17	38	1
18	38	1
21	38	1
24	38	1
25	38	1
29	38	1
30	38	1
32	38	1
36	38	1
1	39	1
2	39	1
4	39	1
7	39	1
8	39	1
10	39	1
11	39	1
12	39	1
15	39	1
17	39	1
19	39	1
20	39	1
21	39	1
26	39	1
27	39	1
28	39	1
30	39	1
32	39	1
33	39	1
36	39	1
37	39	1
38	39	1
2	40	1
6	40	1
12	40	1
17	40	1
18	40	1
20	40	1
22	40	1
23	40	1
25	40	1
26	40	1
29	40	1
31	40	1
35	40	1
37	40	1
38	40	1
39	40	1
1	41	1
2	41	1
3	41	1
5	41	1
6	41	1
7	41	1
8	41	1
9	41	1
11	41	1
16	41	1
17	41	1
19	41	1
20	41	1
22	41	1
23	41	1
25	41	1
28	41	1
29	41	1
31	41	1
32	41	1
34	41	1
36	41	1
37	41	1
39	41	1
40	41	1
3	42	1
4	42	1
5	42	1
7	42	1
10	42	1
11	42	1
14	42	1
16	42	1
17	42	1
19	42	1
20	42	1
25	42	1
26	42	1
34	42	1
35	42	1
38	42	1
41	42	1
1	43	1
3	43	1
4	43	1
6	43	1
11	43	1
13	43	1
17	43	1
18	43	1
19	43	1
21	43	1
23	43	1
26	43	1
27	43	1
28	43	1
29	43	1
31	43	1
37	43	1
42	43	1
1	44	1
7	44	1
10	44	1
12	44	1
17	44	1
18	44	1
20	44	1
21	44	1
25	44	1
28	44	1
29	44	1
33	44	1
34	44	1
38	44	1
40	44	1
41	44	1
42	44	1
43	44	1
1	45	1
3	45	1
6	45	1
13	45	1
14	45	1
15	45	1
16	45	1
19	45	1
20	45	1
22	45	1
23	45	1
24	45	1
26	45	1
27	45	1
30	45	1
31	45	1
32	45	1
34	45	1
35	45	1
37	45	1
41	45	1
44	45	1
2	46	1
4	46	1
5	46	1
6	46	1
7	46	1
8	46	1
10	46	1
11	46	1
12	46	1
18	46	1
19	46	1
20	46	1
21	46	1
22	46	1
23	46	1
24	46	1
27	46	1
28	46	1
29	46	1
30	46	1
32	46	1
33	46	1
35	46	1
42	46	1
44	46	1
1	47	1
3	47	1
5	47	1
8	47	1
10	47	1
11	47	1
12	47	1
14	47	1
16	47	1
17	47	1
18	47	1
20	47	1
22	47	1
23	47	1
24	47	1
25	47	1
30	47	1
31	47	1
35	47	1
36	47	1
37	47	1
38	47	1
43	47	1
45	47	1
2	48	1
3	48	1
4	48	1
11	48	1
13	48	1
14	48	1
15	48	1
19	48	1
20	48	1
21	48	1
22	48	1
24	48	1
28	48	1
30	48	1
34	48	1
36	48	1
37	48	1
38	48	1
39	48	1
42	48	1
44	48	1
46	48	1
1	49	1
2	49	1
5	49	1
6	49	1
7	49	1
10	49	1
14	49	1
15	49	1
16	49	1
17	49	1
19	49	1
21	49	1
22	49	1
23	49	1
25	49	1
27	49	1
32	49	1
35	49	1
37	49	1
38	49	1
39	49	1
40	49	1
41	49	1
42	49	1
44	49	1
46	49	1
47	49	1
3	50	1
4	50	1
5	50	1
9	50	1
10	50	1
11	50	1
12	50	1
17	50	1
20	50	1
22	50	1
26	50	1
28	50	1
29	50	1
30	50	1
32	50	1
33	50	1
36	50	1
38	50	1
39	50	1
40	50	1
41	50	1
44	50	1
45	50	1
48	50	1
6	51	1
9	51	1
11	51	1
12	51	1
17	51	1
18	51	1
19	51	1
20	51	1
21	51	1
23	51	1
25	51	1
27	51	1
29	51	1
31	51	1
32	51	1
33	51	1
34	51	1
38	51	1
39	51	1
40	51	1
42	51	1
43	51	1
47	51	1
48	51	1
50	51	1
2	52	1
3	52	1
4	52	1
6	52	1
7	52	1
9	52	1
14	52	1
15	52	1
16	52	1
17	52	1
18	52	1
19	52	1
20	52	1
22	52	1
27	52	1
29	52	1
30	52	1
33	52	1
34	52	1
35	52	1
36	52	1
37	52	1
38	52	1
44	52	1
47	52	1
48	52	1
1	53	1
3	53	1
4	53	1
8	53	1
13	53	1
14	53	1
15	53	1
16	53	1
17	53	1
18	53	1
22	53	1
23	53	1
24	53	1
26	53	1
27	53	1
28	53	1
29	53	1
33	53	1
34	53	1
35	53	1
37	53	1
39	53	1
40	53	1
41	53	1
50	53	1
51	53	1
52	53	1
2	54	1
3	54	1
5	54	1
6	54	1
7	54	1
8	54	1
9	54	1
10	54	1
12	54	1
13	54	1
17	54	1
18	54	1
20	54	1
21	54	1
22	54	1
23	54	1
24	54	1
26	54	1
28	54	1
29	54	1
31	54	1
34	54	1
41	54	1
42	54	1
43	54	1
45	54	1
48	54	1
49	54	1
50	54	1
51	54	1
2	55	1
3	55	1
11	55	1
12	55	1
18	55	1
20	55	1
24	55	1
27	55	1
28	55	1
29	55	1
32	55	1
33	55	1
36	55	1
37	55	1
38	55	1
39	55	1
42	55	1
43	55	1
48	55	1
52	55	1
53	55	1
2	56	1
5	56	1
6	56	1
7	56	1
8	56	1
9	56	1
10	56	1
11	56	1
12	56	1
15	56	1
16	56	1
19	56	1
22	56	1
23	56	1
27	56	1
28	56	1
31	56	1
36	56	1
37	56	1
40	56	1
42	56	1
47	56	1
48	56	1
50	56	1
51	56	1
52	56	1
54	56	1
55	56	1
1	57	1
2	57	1
3	57	1
4	57	1
6	57	1
8	57	1
9	57	1
10	57	1
13	57	1
14	57	1
15	57	1
18	57	1
19	57	1
23	57	1
26	57	1
27	57	1
28	57	1
31	57	1
32	57	1
34	57	1
37	57	1
39	57	1
41	57	1
43	57	1
44	57	1
46	57	1
48	57	1
51	57	1
52	57	1
53	57	1
1	58	1
3	58	1
7	58	1
8	58	1
10	58	1
11	58	1
12	58	1
15	58	1
17	58	1
19	58	1
21	58	1
23	58	1
24	58	1
26	58	1
27	58	1
29	58	1
30	58	1
33	58	1
34	58	1
38	58	1
39	58	1
40	58	1
43	58	1
45	58	1
46	58	1
49	58	1
51	58	1
55	58	1
2	59	1
4	59	1
6	59	1
7	59	1
12	59	1
16	59	1
18	59	1
20	59	1
26	59	1
27	59	1
29	59	1
32	59	1
35	59	1
37	59	1
38	59	1
39	59	1
42	59	1
44	59	1
46	59	1
47	59	1
48	59	1
49	59	1
50	59	1
53	59	1
55	59	1
57	59	1
2	60	1
3	60	1
5	60	1
6	60	1
7	60	1
9	60	1
10	60	1
11	60	1
14	60	1
16	60	1
17	60	1
18	60	1
19	60	1
21	60	1
26	60	1
28	60	1
29	60	1
31	60	1
32	60	1
34	60	1
35	60	1
39	60	1
41	60	1
42	60	1
44	60	1
45	60	1
46	60	1
47	60	1
48	60	1
51	60	1
56	60	1
57	60	1
3	61	1
9	61	1
15	61	1
18	61	1
19	61	1
21	61	1
24	61	1
27	61	1
29	61	1
30	61	1
31	61	1
34	61	1
37	61	1
39	61	1
40	61	1
42	61	1
43	61	1
44	61	1
45	61	1
48	61	1
49	61	1
50	61	1
52	61	1
53	61	1
58	61	1
59	61	1
1	62	1
3	62	1
6	62	1
7	62	1
8	62	1
11	62	1
13	62	1
16	62	1
18	62	1
21	62	1
25	62	1
26	62	1
29	62	1
30	62	1
34	62	1
35	62	1
44	62	1
45	62	1
46	62	1
47	62	1
50	62	1
51	62	1
52	62	1
56	62	1
57	62	1
58	62	1
59	62	1
60	62	1
61	62	1
3	63	1
5	63	1
7	63	1
17	63	1
19	63	1
20	63	1
21	63	1
22	63	1
25	63	1
27	63	1
29	63	1
32	63	1
35	63	1
39	63	1
40	63	1
41	63	1
42	63	1
44	63	1
47	63	1
48	63	1
49	63	1
50	63	1
51	63	1
52	63	1
56	63	1
60	63	1
61	63	1
4	64	1
5	64	1
6	64	1
9	64	1
10	64	1
11	64	1
13	64	1
14	64	1
17	64	1
18	64	1
21	64	1
24	64	1
30	64	1
31	64	1
34	64	1
36	64	1
37	64	1
39	64	1
41	64	1
44	64	1
49	64	1
53	64	1
54	64	1
55	64	1
56	64	1
58	64	1
59	64	1
60	64	1
1	65	1
2	65	1
3	65	1
4	65	1
5	65	1
6	65	1
8	65	1
9	65	1
10	65	1
11	65	1
12	65	1
14	65	1
15	65	1
16	65	1
21	65	1
25	65	1
28	65	1
29	65	1
33	65	1
36	65	1
39	65	1
41	65	1
42	65	1
43	65	1
45	65	1
48	65	1
49	65	1
51	65	1
57	65	1
58	65	1
59	65	1
63	65	1
2	66	1
3	66	1
5	66	1
6	66	1
8	66	1
10	66	1
12	66	1
13	66	1
14	66	1
15	66	1
19	66	1
23	66	1
24	66	1
25	66	1
26	66	1
29	66	1
31	66	1
32	66	1
33	66	1
37	66	1
38	66	1
40	66	1
43	66	1
44	66	1
46	66	1
47	66	1
52	66	1
53	66	1
54	66	1
55	66	1
57	66	1
61	66	1
62	66	1
63	66	1
1	67	1
2	67	1
8	67	1
9	67	1
14	67	1
15	67	1
17	67	1
20	67	1
23	67	1
24	67	1
25	67	1
30	67	1
31	67	1
34	67	1
36	67	1
38	67	1
41	67	1
42	67	1
46	67	1
48	67	1
54	67	1
55	67	1
57	67	1
58	67	1
59	67	1
60	67	1
61	67	1
2	68	1
3	68	1
5	68	1
6	68	1
7	68	1
8	68	1
9	68	1
10	68	1
11	68	1
12	68	1
14	68	1
16	68	1
17	68	1
18	68	1
20	68	1
21	68	1
24	68	1
26	68	1
27	68	1
30	68	1
32	68	1
33	68	1
34	68	1
35	68	1
37	68	1
40	68	1
47	68	1
49	68	1
52	68	1
54	68	1
58	68	1
59	68	1
60	68	1
62	68	1
63	68	1
64	68	1
65	68	1
3	69	1
4	69	1
5	69	1
6	69	1
7	69	1
9	69	1
11	69	1
14	69	1
16	69	1
18	69	1
21	69	1
22	69	1
26	69	1
29	69	1
30	69	1
33	69	1
38	69	1
39	69	1
42	69	1
43	69	1
44	69	1
46	69	1
48	69	1
49	69	1
50	69	1
54	69	1
56	69	1
59	69	1
60	69	1
61	69	1
62	69	1
63	69	1
64	69	1
67	69	1
3	70	1
6	70	1
8	70	1
9	70	1
10	70	1
13	70	1
15	70	1
16	70	1
19	70	1
20	70	1
22	70	1
24	70	1
26	70	1
29	70	1
32	70	1
37	70	1
39	70	1
40	70	1
41	70	1
51	70	1
52	70	1
53	70	1
54	70	1
56	70	1
57	70	1
58	70	1
62	70	1
63	70	1
64	70	1
1	71	1
4	71	1
5	71	1
9	71	1
11	71	1
12	71	1
13	71	1
14	71	1
16	71	1
19	71	1
20	71	1
21	71	1
25	71	1
27	71	1
32	71	1
33	71	1
34	71	1
35	71	1
39	71	1
40	71	1
41	71	1
44	71	1
45	71	1
46	71	1
47	71	1
49	71	1
50	71	1
52	71	1
55	71	1
56	71	1
58	71	1
59	71	1
64	71	1
66	71	1
67	71	1
70	71	1
3	72	1
4	72	1
5	72	1
12	72	1
13	72	1
15	72	1
16	72	1
20	72	1
24	72	1
27	72	1
28	72	1
30	72	1
34	72	1
35	72	1
36	72	1
37	72	1
38	72	1
40	72	1
41	72	1
45	72	1
46	72	1
47	72	1
51	72	1
55	72	1
57	72	1
58	72	1
63	72	1
65	72	1
66	72	1
2	73	1
3	73	1
6	73	1
7	73	1
9	73	1
13	73	1
16	73	1
17	73	1
19	73	1
20	73	1
21	73	1
24	73	1
25	73	1
27	73	1
29	73	1
31	73	1
32	73	1
36	73	1
37	73	1
38	73	1
39	73	1
42	73	1
45	73	1
46	73	1
47	73	1
49	73	1
50	73	1
51	73	1
53	73	1
54	73	1
55	73	1
56	73	1
58	73	1
59	73	1
61	73	1
62	73	1
63	73	1
64	73	1
68	73	1
69	73	1
70	73	1
4	74	1
6	74	1
7	74	1
10	74	1
11	74	1
14	74	1
16	74	1
19	74	1
20	74	1
21	74	1
24	74	1
25	74	1
30	74	1
32	74	1
36	74	1
37	74	1
40	74	1
41	74	1
46	74	1
47	74	1
48	74	1
52	74	1
53	74	1
56	74	1
61	74	1
66	74	1
67	74	1
68	74	1
69	74	1
73	74	1
5	75	1
6	75	1
