Node	Index	Nsample	Psample	Pfilter	Pbest
10	0	10000	0.2205	0.3295	0.432
10	1	10000	0.4475	0.4485	0.895
10	2	10000	0.345	0.4173	0.805
10	3	10000	0.016	0.4602	0.997
10	4	10000	0	0.2594	0.865
10	5	10000	0.1288	0.7977	1
10	6	10000	0.1116	0.8544	0.998
10	7	10000	0	0.1982	0.617
10	8	10000	0.973	0.973	0.999
10	9	10000	0.3816	0.3817	0.888
10	10	10000	0.0213	0.5132	0.897
10	11	10000	0	0.6896	0.96
10	12	10000	0.9696	0.9696	1
10	13	10000	0.0145	0.2638	0.402
10	14	10000	0.7001	0.7001	1
10	15	10000	0.9791	0.9791	1
10	16	10000	0.9971	0.9971	1
10	17	10000	0.6842	0.7003	0.964
10	18	10000	0.2911	0.299	0.758
10	19	10000	0	0.1818	0.365
20	0	10000	0.117	0.5397	1
20	1	10000	0.1487	0.1966	0.809
20	2	10000	0.003	0.4066	0.988
20	3	10000	0.2233	0.2833	0.915
20	4	10000	0.003	0.0204	0.035
20	5	10000	0.0461	0.2042	0.712
20	6	10000	0.5034	0.6038	0.998
20	7	10000	0.0443	0.3759	0.983
20	8	10000	4E-4	0.3062	1
20	9	10000	0.0039	0.3343	0.981
20	10	10000	0.1019	0.1177	0.332
20	11	10000	0.4308	0.4351	0.936
20	12	10000	0.2715	0.2717	0.496
20	13	10000	0.0134	0.2508	0.955
20	14	10000	0.5119	0.5122	1
20	15	10000	0.3719	0.4199	0.686
20	16	10000	0.0429	0.0508	0.221
20	17	10000	0.2671	0.3828	0.729
20	18	10000	0.1094	0.1317	0.641
20	19	10000	0.5169	0.5169	0.922
30	0	10000	0.5137	0.7982	0.972
30	1	10000	0.2021	0.3428	0.994
30	2	10000	0.0153	0.1767	0.629
30	3	10000	0.1994	0.3132	0.936
30	4	10000	0.0804	0.1218	0.67
30	5	10000	0.2735	0.2897	0.824
30	6	10000	0.0252	0.1529	0.73
30	7	10000	0.2012	0.3122	0.89
30	8	10000	0.1849	0.2544	0.996
30	9	10000	0.07	0.07	0.316
30	10	10000	0.2253	0.244	0.981
30	11	10000	0.1968	0.1978	0.736
30	12	10000	0.1557	0.1711	0.552
30	13	10000	0.1654	0.2461	0.599
30	14	10000	0.2546	0.3841	0.726
30	15	10000	0.0075	0.0092	0.039
30	16	10000	0.2165	0.5933	1
30	17	10000	0.0291	0.1724	0.709
30	18	10000	0.2764	0.4359	0.914
30	19	10000	0.0108	0.0185	0.093
40	0	10000	0.1494	0.4926	0.85
40	1	10000	0.1514	0.2598	0.79
40	2	10000	0.2193	0.2584	0.763
40	3	10000	0.0208	0.5427	0.888
40	4	10000	0.2329	0.4296	0.967
40	5	10000	0.2798	0.3737	0.751
40	6	10000	0.1617	0.1893	0.691
40	7	10000	0.0067	0.0266	0.068
40	8	10000	0.1195	0.2078	0.4
40	9	10000	0.0507	0.2828	0.94
40	10	10000	0.0474	0.4214	0.902
40	11	10000	0.1453	0.194	0.375
40	12	10000	0.1036	0.1605	0.542
40	13	10000	0.0677	0.2397	0.907
40	14	10000	0.2896	0.3692	0.792
40	15	10000	0.1137	0.3802	0.921
40	16	10000	0.1469	0.2117	0.968
40	17	10000	0.2914	0.4096	0.954
40	18	10000	0.0975	0.1982	0.6
40	19	10000	0.1558	0.3192	0.502
50	0	10000	0.0081	0.0724	0.28
50	1	10000	0.1908	0.1981	0.566
50	2	10000	0.2029	0.2937	0.771
50	3	10000	0.0256	0.0486	0.2
50	4	10000	0.1734	0.2018	0.661
50	5	10000	0.0157	0.175	0.716
50	6	10000	0.0256	0.0683	0.229
50	7	10000	0.0879	0.1938	0.569
50	8	10000	0.0445	0.2582	0.605
50	9	10000	0.1463	0.309	0.704
50	10	10000	0.146	0.1476	0.552
50	11	10000	0.2177	0.2606	0.844
50	12	10000	0.087	0.2849	0.809
50	13	10000	0.1298	0.1882	0.53
50	14	10000	0.0325	0.0538	0.215
50	15	10000	0.159	0.2926	0.937
50	16	10000	0.0929	0.1285	0.513
50	17	10000	0.1524	0.3482	0.877
50	18	10000	0.1548	0.3006	0.615
50	19	10000	0.2421	0.4775	0.995
60	0	10000	0.0182	0.0357	0.174
60	1	10000	0.0529	0.0891	0.399
60	2	10000	0.0071	0.0092	0.054
60	3	10000	0.3286	0.3328	0.667
60	4	10000	0.0581	0.1242	0.434
60	5	10000	0.0846	0.0955	0.53
60	6	10000	0.1143	0.2317	0.5
60	7	10000	0.0512	0.0515	0.357
60	8	10000	0.138	0.1671	0.479
60	9	10000	0.0483	0.1348	0.453
60	10	10000	0.1398	0.2089	0.717
60	11	10000	0.1936	0.1936	0.707
60	12	10000	0.0156	0.0483	0.168
60	13	10000	0.0643	0.0643	0.411
60	14	10000	0.0446	0.0752	0.229
60	15	10000	0.1231	0.1231	0.624
60	16	10000	0.2109	0.2519	0.945
60	17	10000	0.1802	0.2929	0.929
60	18	10000	0.0202	0.0225	0.074
60	19	10000	0.2625	0.5221	0.949
70	0	10000	0.0591	0.1423	0.381
70	1	10000	0.1265	0.216	0.776
70	2	10000	0.0895	0.2421	0.611
70	3	10000	0.129	0.4212	0.944
70	4	10000	0.0706	0.1945	0.56
70	5	10000	0.0022	0.0286	0.071
70	6	10000	0.0012	0.0173	0.057
70	7	10000	0.0365	0.1539	0.4
70	8	10000	0.0014	0.0973	0.38
70	9	10000	0.2324	0.3904	0.717
70	10	10000	0.0257	0.0293	0.195
70	11	10000	0.1125	0.2068	0.784
70	12	10000	0.1819	0.3022	0.904
70	13	10000	0.0494	0.1197	0.274
70	14	10000	0.0238	0.0376	0.133
70	15	10000	0.1243	0.261	0.801
70	16	10000	0.0161	0.0202	0.058
70	17	10000	0.0075	0.0198	0.06
70	18	10000	0.02	0.0385	0.19
70	19	10000	0.0533	0.1136	0.305
80	0	10000	0.1245	0.2665	0.594
80	1	10000	0.1401	0.2518	0.818
80	2	10000	0.1828	0.3651	0.635
80	3	10000	0.0285	0.2111	0.558
80	4	10000	0.107	0.1464	0.26
80	5	10000	0.034	0.1422	0.61
80	6	10000	0.0561	0.1699	0.382
80	7	10000	0.0538	0.1439	0.378
80	8	10000	0.0058	0.0095	0.025
80	9	10000	0.0812	0.243	0.608
