NodeSize	Index	Nall	Nsample	Pall	Psample	Pfilter	Pbest
10	0	28000	10000	0.288107143	0.3954	0.6668	0.998
10	1	24000	10000	0.197916667	0.3366	0.4749	0.981
10	2	18000	10000	0.179388889	0.02	0.3141	0.865
10	3	34000	10000	0.136147059	0.2206	0.3453	0.933
10	4	26000	10000	0.177923077	0.1988	0.4625	1
10	5	14000	10000	0.508214286	0.5184	0.6916	0.995
10	6	22000	10000	0.305954545	0.3472	0.5922	1
10	7	16000	10000	0.3499375	0.4863	0.5593	0.981
10	8	18000	10000	0.195611111	0.2016	0.3497	0.999
10	9	24000	10000	0.213333333	0.0685	0.5119	0.997
20	0	15000	10000	0.123666667	0.1457	0.1855	0.311
20	1	25000	10000	0.43088	0.2099	0.637	0.954
20	2	15000	10000	0.360866667	0.4976	0.5159	0.83
20	3	25000	10000	0.33796	0.5659	0.7849	0.984
20	4	15000	10000	0.518533333	0.3179	0.7642	0.995
20	5	20000	10000	0.3593	0.1844	0.2646	0.749
20	6	25000	10000	0.05772	0.0582	0.1408	0.54
20	7	15000	10000	0.4556	0.4689	0.6194	0.977
20	8	20000	10000	0.23865	0.0517	0.2253	0.999
20	9	20000	10000	0.64345	0.8596	0.8596	1
30	0	42900	10000	0.086643357	0.004	0.2797	0.856
30	1	16500	10000	0.109636364	0.1105	0.1792	0.327
30	2	29700	10000	0.146531987	0.279	0.4098	0.846
30	3	33000	10000	0.191727273	0.3263	0.4565	0.726
30	4	19800	10000	0.183787879	0.2376	0.3617	0.559
30	5	26400	10000	0.329924242	0.1282	0.6086	0.972
30	6	13200	10000	0.419924242	0.4852	0.4879	0.851
30	7	23100	10000	0.265627706	0.3806	0.5813	0.789
30	8	16500	10000	0.13969697	0.1071	0.1892	0.433
30	9	26400	10000	0.162462121	0.0353	0.3495	0.85
40	0	30000	10000	0.3111	0.2001	0.4407	0.934
40	1	30000	10000	0.057066667	0.0045	0.107	0.631
40	2	40000	10000	0.171725	0.375	0.4478	0.969
40	3	30000	10000	0.0682	0.0022	0.1951	0.347
40	4	20000	10000	0.2128	0.1979	0.2706	0.532
40	5	40000	10000	0.07815	0	0.2329	0.649
40	6	30000	10000	0.228866667	0.076	0.4669	0.665
40	7	20000	10000	0.2873	0.2439	0.4839	0.768
40	8	20000	10000	0.505	0.0853	0.6736	0.972
40	9	20000	10000	0.17955	0.2434	0.3591	0.983
50	0	24000	10000	0.210916667	0.3902	0.4873	0.951
50	1	16000	10000	0.467375	0.3728	0.4189	0.735
50	2	32000	10000	0.155	0	0.4348	0.923
50	3	32000	10000	0.19809375	0.0638	0.3721	0.911
50	4	40000	10000	0.1743	0.4419	0.4811	0.836
50	5	24000	10000	0.103708333	0.1077	0.1739	0.367
50	6	24000	10000	0.255791667	0.1317	0.5899	0.974
50	7	24000	10000	0.070791667	0.099	0.1544	0.314
50	8	32000	10000	0.10709375	0.1071	0.2997	0.51
50	9	24000	10000	0.230041667	0.1629	0.2186	0.417
60	0	26400	10000	0.116780303	0.1456	0.1979	0.669
60	1	26400	10000	0.188484848	0.0148	0.3423	0.901
60	2	33000	10000	0.162757576	0.0934	0.396	0.675
60	3	19800	10000	0.406515152	0.4981	0.5833	0.965
60	4	19800	10000	0.047121212	0.0725	0.0801	0.261
