NodeSize	Index	Nall	Nsample	Pall	Psample	Pfilter	Pbest
10	0	40000	10000	0.197925	0	0.7917	1
10	1	40000	10000	0.157725	0.0541	0.6037	1
10	2	16000	10000	0.451375	0.5404	0.7182	0.94
10	3	16000	10000	0.48375	0.4722	0.6908	1
10	4	28000	10000	0.37725	0.633	0.811	0.984
10	5	24000	10000	0.27025	0.3771	0.6486	1
10	6	12000	10000	0.19225	0.2307	0.2307	0.731
10	7	20000	10000	0.4807	0.4	0.9286	1
10	8	20000	10000	0.4614	0.1228	0.8028	1
10	9	16000	10000	0.4081875	0.2891	0.5643	0.947
20	0	45000	10000	0.098866667	0	0.3327	0.921
20	1	25000	10000	0.36	0.3857	0.7891	0.952
20	2	15000	10000	0.489	0.5864	0.7137	0.997
20	3	15000	10000	0.5482	0.3563	0.8046	0.999
20	4	35000	10000	0.255142857	0.1923	0.5272	0.991
20	5	20000	10000	0.2983	0.5132	0.5588	0.986
20	6	15000	10000	0.310333333	0.17	0.2892	0.791
20	7	20000	10000	0.24835	0.0849	0.359	0.639
20	8	30000	10000	0.156766667	0.0503	0.4659	0.994
20	9	25000	10000	0.35876	0.3973	0.4769	0.99
30	0	13200	10000	0.258181818	0.2884	0.3408	0.986
30	1	19800	10000	0.078585859	0.0802	0.1546	0.275
30	2	19800	10000	0.378636364	0.3307	0.6481	1
30	3	16500	10000	0.338121212	0.2468	0.5441	0.944
30	4	23100	10000	0.327402597	0.4165	0.6842	1
30	5	23100	10000	0.07004329	0.022	0.1186	0.375
30	6	19800	10000	0.050808081	0.0444	0.1006	0.298
30	7	36300	10000	0.139862259	0.2341	0.5021	0.984
30	8	26400	10000	0.336136364	0.3324	0.7133	0.994
30	9	16500	10000	0.297151515	0.3322	0.3356	0.874
40	0	15000	10000	0.4638	0.3254	0.6808	1
40	1	22500	10000	0.304177778	0.18	0.521	0.976
40	2	20000	10000	0.1598	0.1774	0.3196	0.673
40	3	22500	10000	0.227155556	0.3535	0.3994	0.952
40	4	15000	10000	0.040866667	0.0613	0.0613	0.199
40	5	17500	10000	0.1228	0.1976	0.2149	0.741
40	6	20000	10000	0.15325	0.0474	0.1387	0.561
40	7	22500	10000	0.234666667	0.288	0.3757	0.812
40	8	15000	10000	0.313866667	0.3048	0.4708	0.962
40	9	12500	10000	0.28512	0.3536	0.3536	0.685
50	0	24000	10000	0.231916667	0.1075	0.5565	0.988
50	1	18000	10000	0.241888889	0.177	0.4297	0.802
50	2	22000	10000	0.229681818	0.251	0.4629	0.887
50	3	18000	10000	0.461222222	0.578	0.7999	1
50	4	18000	10000	0.081833333	0.1143	0.1435	0.599
50	5	16000	10000	0.31525	0.1542	0.5018	0.936
50	6	16000	10000	0.3835	0.4148	0.6092	0.978
50	7	28000	10000	0.053392857	0.0129	0.1024	0.435
50	8	32000	10000	0.04865625	0.0458	0.1557	0.443
50	9	26000	10000	0.189923077	0.0879	0.4478	0.751
60	0	19800	10000	0.160454545	0.1203	0.179	0.566
60	1	19800	10000	0.025808081	0.0456	0.0511	0.176
60	2	19800	10000	0.312272727	0.2982	0.5565	0.7
60	3	19800	10000	0.263030303	0.0984	0.4404	0.771
60	4	19800	10000	0.448989899	0.3279	0.7915	0.974
60	5	19800	10000	0.035656566	0.0174	0.0638	0.262
60	6	19800	10000	0.022676768	0.0171	0.0421	0.109
60	7	13200	10000	0.376212121	0.4594	0.461	1
60	8	19800	10000	0.415959596	0.6263	0.8085	0.963
60	9	26400	10000	0.183219697	3E-4	0.3639	0.966
70	0	22400	10000	0.234910714	0.1414	0.3945	0.904
70	1	16800	10000	0.173511905	0.0961	0.2707	0.584
70	2	39200	10000	0.05247449	0.0026	0.1993	0.449
70	3	16800	10000	0.414464286	0.6262	0.6894	0.967
70	4	22400	10000	0.146785714	0.1338	0.32	0.647
70	5	22400	10000	0.246785714	0.1563	0.4611	0.801
70	6	16800	10000	0.0925	0.0901	0.1263	0.33
70	7	22400	10000	0.242098214	0.1576	0.4829	0.967
70	8	16800	10000	0.228869048	0.2388	0.3763	0.649
70	9	16800	10000	0.43547619	0.4207	0.5104	0.912
80	0	15000	10000	0.0832	0.0704	0.1221	0.341
80	1	35000	10000	0.053428571	0.0777	0.1855	0.435
80	2	20000	10000	0.3614	0.5473	0.5897	0.819
80	3	35000	10000	0.074742857	0.0479	0.2607	0.821
80	4	30000	10000	0.003966667	0.0103	0.0119	0.07
80	5	20000	10000	0.1496	0.0612	0.078	0.367
80	6	20000	10000	0.0381	0.0204	0.0661	0.172
80	7	25000	10000	0.10412	0.0527	0.2214	0.679
80	8	25000	10000	0.2014	0.1156	0.4157	0.733
80	9	30000	10000	0.059633333	0.0133	0.1197	0.288
90	0	22000	10000	0.097181818	0.1567	0.2119	0.508
90	1	22000	10000	0.133	0.1563	0.2912	0.509
90	2	22000	10000	0.105636364	0.1393	0.2323	0.504
90	3	26400	10000	0.075643939	0.076	0.1639	0.229
90	4	22000	10000	0.168227273	0.2517	0.3592	0.713
90	5	26400	10000	0.120833333	0.0745	0.2761	0.455
90	6	17600	10000	0.143693182	0.1429	0.2033	0.426
90	7	26400	10000	0.091515152	0.0735	0.1951	0.457
90	8	30800	10000	0.005649351	0.009	0.0174	0.049
90	9	30800	10000	0.018538961	0.0218	0.0434	0.097
100	0	20000	10000	0.1218	0.0767	0.2184	0.302
100	1	28000	10000	0.0505	0.0533	0.1287	0.225
100	2	20000	10000	0.24535	0.2524	0.4563	0.791
100	3	24000	10000	0.151	0.0794	0.3588	0.596
100	4	16000	10000	0.0160625	0.0211	0.0257	0.068
100	5	16000	10000	0.0665	0.06	0.1051	0.268
100	6	24000	10000	0.066625	0.034	0.1473	0.375
100	7	16000	10000	0.0885625	0.0852	0.1103	0.224
100	8	24000	10000	0.152458333	0.2756	0.3461	0.693
100	9	20000	10000	0.1004	0.1538	0.2008	0.368
110	0	25200	10000	0.008095238	0.0067	0.018	0.037
110	1	21600	10000	0.038981481	0.0354	0.0727	0.164
110	2	18000	10000	0.504222222	0.367	0.7404	0.944
110	3	18000	10000	0.057555556	0.069	0.1035	0.189
110	4	21600	10000	0.072638889	0.1101	0.1567	0.297
