Node	d	density	Index	Sample10000	Filter10000	Best1000
40	4	0.1	0	0.2422	0.4682	0.89
40	4	0.1	1	0.1235	0.1267	0.297
40	4	0.1	2	0.0154	0.0386	0.096
40	4	0.1	3	0.319	0.415	0.697
40	4	0.1	4	0.2357	0.8853	0.995
40	4	0.1	5	0.1442	0.6688	0.966
40	4	0.1	6	0.1649	0.2977	0.719
40	4	0.1	7	0.2872	0.3382	0.488
40	4	0.1	8	0.0403	0.0565	0.092
40	4	0.1	9	0.4978	0.5662	0.787
40	4	0.1	10	0.2163	0.2247	0.576
40	4	0.1	11	0.2258	0.5128	0.931
40	4	0.1	12	0.1289	0.2752	0.57
40	4	0.1	13	0.0264	0.4139	0.95
40	4	0.1	14	0.0089	0.0268	0.075
40	4	0.1	15	0.0215	0.2925	0.881
40	4	0.1	16	0.4831	0.5921	0.918
40	4	0.1	17	0.4339	0.555	0.914
40	4	0.1	18	0.0815	0.156	0.223
40	4	0.1	19	0.1042	0.2203	0.429
40	8	0.2	0	0.1425	0.6342	0.983
40	8	0.2	1	0.4522	0.6488	0.996
40	8	0.2	2	0.4139	0.7827	0.922
40	8	0.2	3	0.3234	0.4202	0.781
40	8	0.2	4	0.0375	0.0625	0.152
40	8	0.2	5	0.408	0.6081	0.907
40	8	0.2	6	0.0842	0.263	0.453
40	8	0.2	7	0.1901	0.594	0.992
40	8	0.2	8	0.0609	0.085	0.179
40	8	0.2	9	0.2244	0.7818	0.995
40	8	0.2	10	0.4406	0.81	0.998
40	8	0.2	11	0.0549	0.0595	0.146
40	8	0.2	12	0.0568	0.13	0.349
40	8	0.2	13	0.0674	0.1269	0.279
40	8	0.2	14	0.0664	0.1465	0.273
40	8	0.2	15	0.3419	0.5681	0.831
40	8	0.2	16	0.0232	0.1535	0.301
40	8	0.2	17	0.06	0.6905	1
40	8	0.2	18	0.017	0.232	0.693
40	8	0.2	19	0.2654	0.6465	0.952
40	12	0.3	0	0.1733	0.3734	0.593
40	12	0.3	1	0.0589	0.1283	0.245
40	12	0.3	2	0.2697	0.6141	0.802
40	12	0.3	3	5E-4	0.0139	0.068
40	12	0.3	4	0.0341	0.0811	0.224
40	12	0.3	5	0.5939	0.7495	0.929
40	12	0.3	6	0.168	0.2486	0.539
40	12	0.3	7	0.2081	0.6035	0.816
40	12	0.3	8	0.0096	0.0159	0.042
40	12	0.3	9	8E-4	0.0012	0.006
40	12	0.3	10	0.0188	0.0808	0.21
40	12	0.3	11	0.1551	0.2472	0.379
40	12	0.3	12	0.3259	0.7295	0.965
40	12	0.3	13	0.3495	0.6804	0.819
40	12	0.3	14	0.1153	0.4021	0.617
40	12	0.3	15	0.4002	0.6669	0.96
40	12	0.3	16	0.2189	0.4964	0.914
40	12	0.3	17	0.2057	0.5964	0.905
40	12	0.3	18	0.0272	0.0651	0.102
40	12	0.3	19	0.0366	0.3258	0.618
40	16	0.4	0	0.3766	0.6938	0.974
40	16	0.4	1	0.3645	0.7676	0.993
40	16	0.4	2	0.1615	0.4882	0.665
40	16	0.4	3	0.6017	0.6395	0.976
40	16	0.4	4	0.1898	0.4809	0.837
40	16	0.4	5	0.2339	0.7686	0.997
40	16	0.4	6	1E-4	0.7742	0.991
40	16	0.4	7	0.0037	0.0067	0.02
40	16	0.4	8	0.4988	0.6908	1
40	16	0.4	9	0.195	0.6337	0.942
40	16	0.4	10	0.286	0.5241	0.926
40	16	0.4	11	0.5748	0.6839	0.947
40	16	0.4	12	0.2518	0.688	0.992
40	16	0.4	13	0.1725	0.3977	0.796
40	16	0.4	14	0.276	0.4589	0.706
40	16	0.4	15	0.3251	0.3412	0.552
40	16	0.4	16	0.2798	0.7275	0.929
40	16	0.4	17	0.0347	0.3931	0.918
40	16	0.4	18	0.3336	0.7445	0.989
40	16	0.4	19	0.4898	0.7396	0.991
40	20	0.5	0	0.2234	0.363	0.546
40	20	0.5	1	0.0458	0.0851	0.153
40	20	0.5	2	0.3883	0.52	0.684
40	20	0.5	3	0.2449	0.571	0.88
40	20	0.5	4	0.0275	0.035	0.097
40	20	0.5	5	0.005	0.0141	0.04
40	20	0.5	6	0.2079	0.6606	0.934
40	20	0.5	7	0.3608	0.7162	0.954
40	20	0.5	8	0.0566	0.163	0.318
40	20	0.5	9	0.0018	0.0025	0.007
40	20	0.5	10	0.1619	0.3755	0.549
40	20	0.5	11	0.3102	0.5843	0.848
40	20	0.5	12	0.1884	0.7267	0.791
40	20	0.5	13	0.1747	0.4604	0.744
40	20	0.5	14	0.2319	0.7942	0.923
40	20	0.5	15	0.0537	0.1628	0.294
40	20	0.5	16	0.4264	0.6324	0.875
40	20	0.5	17	0.0568	0.2252	0.316
40	20	0.5	18	0.1839	0.365	0.576
40	20	0.5	19	0.155	0.2703	0.435
40	24	0.6	0	0.3682	0.6123	0.836
40	24	0.6	1	0.5587	0.6988	0.937
40	24	0.6	2	0.4439	0.6876	0.933
40	24	0.6	3	0.1232	0.7157	0.978
40	24	0.6	4	0.075	0.0929	0.438
40	24	0.6	5	0.2161	0.3062	0.605
40	24	0.6	6	0.4026	0.643	0.742
40	24	0.6	7	0.003	0.0059	0.016
40	24	0.6	8	0.0596	0.2829	0.423
40	24	0.6	9	0.0563	0.0666	0.164
40	24	0.6	10	0.1447	0.2231	0.312
40	24	0.6	11	0.3431	0.5493	0.922
40	24	0.6	12	0.3263	0.6338	0.926
40	24	0.6	13	0.2335	0.2981	0.453
40	24	0.6	14	0.3197	0.7686	0.975
40	24	0.6	15	0.2022	0.5765	0.855
40	24	0.6	16	0.2913	0.5826	0.706
40	24	0.6	17	0.2141	0.5953	0.969
40	24	0.6	18	0.2975	0.5114	0.933
40	24	0.6	19	0.4585	0.5963	0.853
40	28	0.7	0	0.0055	0.0166	0.036
40	28	0.7	1	0.0061	0.0372	0.074
40	28	0.7	2	0.0835	0.4859	0.945
40	28	0.7	3	0.2866	0.6106	0.953
40	28	0.7	4	0.2438	0.5593	0.815
40	28	0.7	5	0.0359	0.1561	0.358
40	28	0.7	6	0.1945	0.3615	0.558
40	28	0.7	7	0.0351	0.0624	0.147
40	28	0.7	8	0.1048	0.2024	0.304
40	28	0.7	9	0.4638	0.5844	0.911
40	28	0.7	10	0.0735	0.2362	0.321
40	28	0.7	11	0.3828	0.6695	0.973
40	28	0.7	12	0.0801	0.1088	0.19
40	28	0.7	13	0.0925	0.4987	0.985
40	28	0.7	14	0.1107	0.1266	0.356
40	28	0.7	15	0.3592	0.7611	1
40	28	0.7	16	0.2334	0.3885	0.455
40	28	0.7	17	0.2784	0.5898	0.926
40	28	0.7	18	0.3007	0.59	0.813
40	28	0.7	19	0.1644	0.4625	0.81
40	32	0.8	0	0.3153	0.3612	0.484
40	32	0.8	1	0.1331	0.3136	0.726
40	32	0.8	2	0.2173	0.4488	0.9
40	32	0.8	3	0.1445	0.3012	0.57
40	32	0.8	4	0.1751	0.4746	0.885
40	32	0.8	5	0.2469	0.6779	0.865
40	32	0.8	6	0.2673	0.4826	0.963
40	32	0.8	7	0.0142	0.036	0.088
40	32	0.8	8	9E-4	0.0026	0.006
40	32	0.8	9	0.4198	0.819	0.939
40	32	0.8	10	0.4711	0.5767	0.977
40	32	0.8	11	0.4732	0.6171	0.859
40	32	0.8	12	0.13	0.2207	0.655
40	32	0.8	13	0.2584	0.4021	0.679
40	32	0.8	14	0.0718	0.5834	0.897
40	32	0.8	15	0.0559	0.2321	0.585
40	32	0.8	16	0.0016	0.0067	0.018
40	32	0.8	17	0.1387	0.3854	0.6
40	32	0.8	18	0.0096	0.678	0.992
40	32	0.8	19	0.084	0.1978	0.466
40	36	0.9	0	0.0166	0.0424	0.179
40	36	0.9	1	0.0967	0.1569	0.39
40	36	0.9	2	0.1923	0.3034	0.595
40	36	0.9	3	0.2377	0.363	0.891
40	36	0.9	4	5E-4	0.0571	0.206
40	36	0.9	5	0.1639	0.275	0.575
40	36	0.9	6	0.1498	0.1673	0.416
40	36	0.9	7	8E-4	0.0243	0.056
40	36	0.9	8	0.0232	0.0832	0.195
40	36	0.9	9	0.0028	0.0079	0.028
40	36	0.9	10	0.2559	0.2559	0.688
40	36	0.9	11	0.0942	0.2619	0.682
40	36	0.9	12	0.0057	0.0064	0.047
40	36	0.9	13	0.0859	0.0927	0.244
40	36	0.9	14	0.1177	0.2923	0.777
40	36	0.9	15	0.0067	0.0689	0.502
40	36	0.9	16	0.1398	0.2116	0.659
40	36	0.9	17	0.0163	0.0534	0.117
40	36	0.9	18	0.0789	0.1047	0.354
40	36	0.9	19	0.0846	0.1081	0.236
