190	285
1	152	1.00
1	112	1.00
1	138	1.00
2	182	1.00
2	58	1.00
2	17	1.00
3	111	1.00
3	174	1.00
3	59	1.00
4	156	1.00
4	68	1.00
4	187	1.00
5	88	1.00
5	176	1.00
5	94	1.00
6	30	1.00
6	33	1.00
6	28	1.00
7	123	1.00
7	44	1.00
7	41	1.00
8	15	1.00
8	155	1.00
8	81	1.00
9	143	1.00
9	110	1.00
9	169	1.00
10	116	1.00
10	47	1.00
10	35	1.00
11	75	1.00
11	76	1.00
11	159	1.00
12	187	1.00
12	74	1.00
12	93	1.00
13	21	1.00
13	165	1.00
13	56	1.00
14	35	1.00
14	66	1.00
14	127	1.00
15	142	1.00
15	108	1.00
16	42	1.00
16	98	1.00
16	176	1.00
17	65	1.00
17	171	1.00
18	30	1.00
18	129	1.00
18	84	1.00
19	90	1.00
19	129	1.00
19	45	1.00
20	95	1.00
20	190	1.00
20	57	1.00
21	181	1.00
21	154	1.00
22	115	1.00
22	138	1.00
22	137	1.00
23	160	1.00
23	93	1.00
23	64	1.00
24	157	1.00
24	47	1.00
24	49	1.00
25	96	1.00
25	46	1.00
25	156	1.00
26	51	1.00
26	149	1.00
26	134	1.00
27	172	1.00
27	39	1.00
27	144	1.00
28	136	1.00
28	37	1.00
29	43	1.00
29	145	1.00
29	91	1.00
30	41	1.00
31	72	1.00
31	79	1.00
31	37	1.00
32	119	1.00
32	62	1.00
32	82	1.00
33	183	1.00
33	153	1.00
34	46	1.00
34	45	1.00
34	125	1.00
35	48	1.00
36	92	1.00
36	186	1.00
36	119	1.00
37	133	1.00
38	180	1.00
38	127	1.00
38	78	1.00
39	123	1.00
39	140	1.00
40	165	1.00
40	58	1.00
40	180	1.00
41	183	1.00
42	160	1.00
42	95	1.00
43	163	1.00
43	66	1.00
44	168	1.00
44	46	1.00
45	184	1.00
47	115	1.00
48	63	1.00
48	139	1.00
49	114	1.00
49	95	1.00
50	157	1.00
50	150	1.00
50	103	1.00
51	107	1.00
51	137	1.00
52	148	1.00
52	60	1.00
52	64	1.00
53	72	1.00
53	158	1.00
53	57	1.00
54	68	1.00
54	82	1.00
54	106	1.00
55	190	1.00
55	146	1.00
55	142	1.00
56	59	1.00
56	89	1.00
57	134	1.00
58	97	1.00
59	79	1.00
60	73	1.00
60	188	1.00
61	113	1.00
61	87	1.00
61	118	1.00
62	113	1.00
62	110	1.00
63	107	1.00
63	83	1.00
64	151	1.00
65	121	1.00
65	100	1.00
66	108	1.00
67	126	1.00
67	86	1.00
67	71	1.00
68	135	1.00
69	111	1.00
69	180	1.00
69	120	1.00
70	117	1.00
70	87	1.00
70	76	1.00
71	126	1.00
71	130	1.00
72	148	1.00
73	116	1.00
73	178	1.00
74	112	1.00
74	185	1.00
75	188	1.00
75	175	1.00
76	141	1.00
77	125	1.00
77	114	1.00
77	78	1.00
78	83	1.00
79	104	1.00
80	115	1.00
80	168	1.00
80	104	1.00
81	166	1.00
81	110	1.00
82	111	1.00
83	122	1.00
84	171	1.00
84	172	1.00
85	92	1.00
85	155	1.00
85	176	1.00
86	152	1.00
86	175	1.00
87	145	1.00
88	107	1.00
88	173	1.00
89	164	1.00
89	96	1.00
90	164	1.00
90	130	1.00
91	153	1.00
91	119	1.00
92	93	1.00
94	128	1.00
94	152	1.00
96	102	1.00
97	137	1.00
97	189	1.00
98	126	1.00
98	190	1.00
99	105	1.00
99	147	1.00
99	178	1.00
100	166	1.00
100	124	1.00
101	123	1.00
101	109	1.00
101	187	1.00
102	146	1.00
102	177	1.00
103	150	1.00
103	124	1.00
104	140	1.00
105	177	1.00
105	173	1.00
106	124	1.00
106	131	1.00
108	154	1.00
109	139	1.00
109	141	1.00
112	143	1.00
113	132	1.00
114	125	1.00
116	159	1.00
117	118	1.00
117	158	1.00
118	120	1.00
120	186	1.00
121	162	1.00
121	149	1.00
122	162	1.00
122	184	1.00
127	186	1.00
128	142	1.00
128	167	1.00
129	178	1.00
130	135	1.00
131	139	1.00
131	170	1.00
132	168	1.00
132	161	1.00
133	157	1.00
133	182	1.00
134	163	1.00
135	179	1.00
136	174	1.00
136	165	1.00
138	189	1.00
140	183	1.00
141	148	1.00
143	167	1.00
144	181	1.00
144	167	1.00
145	169	1.00
146	161	1.00
147	170	1.00
147	162	1.00
149	175	1.00
150	184	1.00
151	173	1.00
151	189	1.00
153	177	1.00
154	169	1.00
155	159	1.00
156	164	1.00
158	160	1.00
161	185	1.00
163	185	1.00
166	188	1.00
170	179	1.00
171	174	1.00
172	179	1.00
181	182	1.00
